epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.958,1.69533,4.14538,1.1096,0.00281,0.83519,0.20352,0.05672,1.15595,4.26521,0.96852,0.000408497,0.000408497,0.000408497
2,478.846,1.36422,2.64026,1.0655,1,0.25905,0.6991,0.41311,1.28213,3.17885,1.06554,0.000808825,0.000808825,0.000808825
3,768.996,1.35488,2.27065,1.06732,0.63609,0.65508,0.66648,0.43306,1.2214,2.8028,1.07817,0.00119265,0.00119265,0.00119265
4,1003.47,1.3294,2.07245,1.04191,0.66251,0.8213,0.73572,0.49822,1.21409,2.02801,1.07285,0.00117575,0.00117575,0.00117575
5,1236.11,1.28817,1.96686,1.07412,0.59215,0.91427,0.77128,0.51382,1.25704,2.05495,1.10252,0.001151,0.001151,0.001151
6,1467.08,1.2744,1.86049,1.08949,0.70644,0.87928,0.70177,0.4567,1.22604,2.17477,1.10029,0.00112625,0.00112625,0.00112625
7,1700.48,1.24662,1.67034,1.06377,0.81539,0.89832,0.85247,0.56599,1.23432,1.78218,1.09874,0.0011015,0.0011015,0.0011015
8,1931.22,1.23085,1.48965,1.05234,0.68184,0.89015,0.79326,0.52807,1.19132,1.64013,1.07326,0.00107675,0.00107675,0.00107675
9,2411.2,1.21762,1.41841,1.05528,0.79387,0.92075,0.89056,0.60051,1.16387,1.4279,1.06144,0.001052,0.001052,0.001052
10,2836.05,1.29222,1.44262,1.09815,0.88529,0.89585,0.93837,0.64233,1.20783,1.259,1.07848,0.00102725,0.00102725,0.00102725
11,3008.91,1.23607,1.26706,1.0427,0.8823,0.87509,0.96335,0.64777,1.18435,1.26088,1.06078,0.0010025,0.0010025,0.0010025
12,3145.71,1.20251,1.25105,1.05731,0.89472,0.93037,0.96787,0.65065,1.17357,1.12094,1.05505,0.00097775,0.00097775,0.00097775
13,3282.62,1.23109,1.17681,1.0575,0.94727,0.9154,0.97723,0.66297,1.17688,1.04012,1.06413,0.000953,0.000953,0.000953
14,3419.29,1.19638,1.05349,1.03857,0.96222,0.94566,0.9909,0.65626,1.23476,1.02551,1.08442,0.00092825,0.00092825,0.00092825
15,3555.07,1.22908,1.04412,1.04431,0.9285,0.95004,0.9862,0.64374,1.25729,0.90854,1.10211,0.0009035,0.0009035,0.0009035
16,3690.86,1.22468,1.00538,1.04558,0.89913,0.91518,0.96923,0.64805,1.22196,0.89594,1.07662,0.00087875,0.00087875,0.00087875
17,3825.5,1.23249,0.99281,1.05303,0.97285,0.98438,0.99455,0.68089,1.15363,0.78659,1.04381,0.000854,0.000854,0.000854
18,3961.43,1.18439,0.96106,1.04403,0.98821,0.99135,0.99261,0.67518,1.15501,0.75599,1.04998,0.00082925,0.00082925,0.00082925
19,4096.14,1.20094,0.91212,1.03361,0.97282,0.96561,0.995,0.67639,1.14801,0.7327,1.05078,0.0008045,0.0008045,0.0008045
20,4230.87,1.16479,0.90703,1.03939,0.97781,0.98232,0.995,0.67869,1.14623,0.70487,1.04585,0.00077975,0.00077975,0.00077975
21,4365.08,1.20096,0.82819,1.02604,0.99001,0.98328,0.99477,0.67671,1.14582,0.67723,1.04153,0.000755,0.000755,0.000755
22,4499.16,1.24469,0.90003,1.03351,0.98448,0.99784,0.995,0.67307,1.16354,0.68485,1.05538,0.00073025,0.00073025,0.00073025
23,4634.27,1.17735,0.8496,1.04098,0.88264,0.97737,0.99078,0.67046,1.14569,0.77348,1.05013,0.0007055,0.0007055,0.0007055
24,4770.76,1.18883,0.76743,1.0381,0.98132,0.9904,0.99356,0.68267,1.15045,0.67446,1.04696,0.00068075,0.00068075,0.00068075
25,4906.95,1.16838,0.73919,1.02426,0.99079,0.98914,0.995,0.68033,1.11426,0.61734,1.0314,0.000656,0.000656,0.000656
26,5042.7,1.15545,0.73996,1.0106,0.98536,0.97433,0.99323,0.67578,1.13705,0.60804,1.0438,0.00063125,0.00063125,0.00063125
27,5178.04,1.14005,0.7262,1.02451,0.96696,0.98585,0.995,0.68339,1.14567,0.63629,1.04594,0.0006065,0.0006065,0.0006065
28,5312.22,1.1128,0.72344,0.99733,0.99109,1,0.995,0.67945,1.13311,0.59067,1.03657,0.00058175,0.00058175,0.00058175
29,5478.08,1.16112,0.72636,1.02337,0.95186,0.99262,0.995,0.68356,1.13758,0.60439,1.03821,0.000557,0.000557,0.000557
30,5613.4,1.11404,0.74956,1.01571,0.98259,0.99237,0.995,0.68162,1.13452,0.59076,1.03699,0.00053225,0.00053225,0.00053225
31,5748.5,1.11242,0.69026,1.01607,0.99632,1,0.995,0.67998,1.13818,0.56515,1.03462,0.0005075,0.0005075,0.0005075
32,5885.56,1.12527,0.64971,1.00644,0.99513,1,0.995,0.67872,1.15523,0.55705,1.04637,0.00048275,0.00048275,0.00048275
33,6026.25,1.12546,0.6359,1.01168,0.98432,0.97798,0.99477,0.69121,1.14481,0.57902,1.03902,0.000458,0.000458,0.000458
34,6164.21,1.11675,0.62839,0.98968,0.98661,0.99281,0.995,0.683,1.13929,0.54798,1.03579,0.00043325,0.00043325,0.00043325
35,6298.37,1.08485,0.62406,1.01018,0.96394,0.98973,0.99279,0.68299,1.12147,0.5492,1.03119,0.0004085,0.0004085,0.0004085
36,6434.79,1.12813,0.65713,1.01892,0.98346,0.99278,0.995,0.69086,1.12883,0.52238,1.03478,0.00038375,0.00038375,0.00038375
37,6569.03,1.08395,0.61823,0.98753,0.99674,1,0.995,0.69539,1.11561,0.51471,1.02688,0.000359,0.000359,0.000359
38,6705.23,1.15743,0.60746,1.00517,0.9898,0.99836,0.995,0.69746,1.12114,0.51432,1.02332,0.00033425,0.00033425,0.00033425
39,6935.67,1.1491,0.5985,1.01955,0.99541,0.99514,0.995,0.68577,1.1256,0.50732,1.03406,0.0003095,0.0003095,0.0003095
40,7153.78,1.10706,0.58567,0.99065,0.99575,1,0.995,0.70043,1.11582,0.50244,1.02689,0.00028475,0.00028475,0.00028475
41,7576.6,1.08648,0.60012,1.04233,0.99561,0.98605,0.995,0.69223,1.11306,0.51387,1.0261,0.00026,0.00026,0.00026
42,7819.58,1.06228,0.5815,1.04004,0.9968,1,0.995,0.70007,1.09744,0.4916,1.01699,0.00023525,0.00023525,0.00023525
43,8068.88,1.05043,0.54875,1.02335,0.99676,1,0.995,0.69739,1.10712,0.48665,1.02225,0.0002105,0.0002105,0.0002105
44,8313.54,1.07034,0.55405,1.01517,0.99638,0.99992,0.995,0.70121,1.12846,0.48404,1.02871,0.00018575,0.00018575,0.00018575
45,8552.6,1.04004,0.53647,1.04043,0.99537,0.99788,0.995,0.69924,1.12777,0.48168,1.02687,0.000161,0.000161,0.000161
46,8798.87,1.08129,0.5471,1.03471,0.99645,0.99861,0.995,0.70871,1.1051,0.48257,1.01764,0.00013625,0.00013625,0.00013625
47,9040.88,1.06812,0.535,1.03379,0.99727,1,0.995,0.6938,1.12332,0.48035,1.02591,0.0001115,0.0001115,0.0001115
48,9283.84,1.0691,0.52903,1.01175,0.99706,1,0.995,0.69907,1.1227,0.47487,1.02624,8.675e-05,8.675e-05,8.675e-05
49,9527.74,1.05639,0.54568,1.02399,0.99683,1,0.995,0.70406,1.11442,0.46689,1.02415,6.2e-05,6.2e-05,6.2e-05
50,9769.14,1.03262,0.51173,1.02766,0.997,1,0.995,0.6949,1.11659,0.46592,1.02509,3.725e-05,3.725e-05,3.725e-05
